OriginalIndex,Predicted,GroundTruth
1050,REST,REST
1051,REST,REST
1052,REST,REST
1053,ATTACK_OTHER,REST
1054,REST,REST
1055,REST,REST
1056,REST,REST
1057,REST,REST
1058,REST,REST
1059,REST,REST
1060,REST,REST
1061,REST,REST
1062,REST,REST
1063,DEPRECIATION,REST
1064,DEPRECIATION,REST
1065,REST,REST
1066,REST,REST
1067,REST,REST
1068,REST,REST
1069,REST,REST
1070,ATTACK_OTHER,REST
1071,REST,REST
1072,REST,REST
1073,REST,REST
1074,ATTACK_OTHER,REST
1075,REST,REST
1076,REST,REST
1077,REST,REST
1078,REST,REST
1079,REST,REST
1080,REST,REST
1081,REST,REST
1082,REST,REST
1083,AVOIDANCE,REST
1084,REST,REST
1085,REST,REST
1086,REST,REST
1087,ATTACK_SELF,REST
1088,REST,REST
1089,REST,REST
1090,ATTACK_SELF,REST
1091,REST,REST
1092,REST,REST
1093,REST,REST
1094,REST,REST
1095,REST,REST
1096,REST,REST
1097,REST,REST
1098,REST,REST
1099,REST,REST
1100,REST,REST
1101,REST,REST
1102,REST,REST
1103,REST,REST
1104,REST,REST
1105,REST,REST
1106,REST,REST
1107,REST,REST
1108,REST,REST
1109,REST,REST
1110,REST,REST
1111,REST,REST
1112,REST,REST
1113,REST,REST
1114,REST,REST
1115,REST,REST
1116,REST,REST
1117,REST,REST
1118,REST,REST
1119,REST,REST
1120,REST,REST
1121,DEPRECIATION,REST
1122,REST,REST
1123,REST,REST
1124,DEPRECIATION,REST
2182,REST,REST
2183,REST,REST
2184,ATTACK_SELF,REST
2185,REST,REST
2186,REST,REST
2187,REST,REST
2188,REST,REST
2189,REST,REST
2190,REST,REST
2191,ATTACK_SELF,REST
2192,REST,REST
2193,AVOIDANCE,REST
2194,REST,REST
2195,REST,REST
2196,REST,REST
2197,REST,REST
2198,DEPRECIATION,REST
2199,REST,REST
2200,REST,REST
2201,REST,REST
2202,REST,REST
2203,REST,REST
2204,REST,REST
2205,REST,REST
2206,REST,REST
2207,REST,REST
2208,DEPRECIATION,REST
2209,REST,REST
2210,REST,REST
2211,REST,REST
2212,REST,REST
2213,ATTACK_SELF,REST
2214,REST,REST
2215,REST,REST
2216,DEPRECIATION,REST
2217,DEPRECIATION,REST
2218,REST,REST
2219,REST,REST
2220,REST,REST
2221,REST,REST
2222,REST,REST
2223,REST,REST
2224,STABILIZE_SELF,REST
2225,REST,REST
2226,REST,REST
2227,REST,REST
2228,ATTACK_OTHER,REST
2229,REST,REST
2230,REST,REST
2231,AVOIDANCE,REST
2232,REST,REST
2233,REST,REST
2234,REST,REST
2235,REST,REST
2236,REST,REST
2237,REST,REST
2238,REST,REST
2239,REST,REST
2240,REST,REST
2241,REST,REST
2242,AVOIDANCE,REST
2243,REST,REST
2244,REST,REST
2245,REST,REST
2246,REST,REST
2247,WITHDRAWAL,REST
2248,AVOIDANCE,REST
2249,REST,REST
2250,REST,REST
2251,REST,REST
2252,REST,REST
2253,REST,REST
2254,REST,REST
2255,REST,REST
2256,REST,REST
2257,REST,REST
2258,REST,REST
2259,REST,REST
2260,DEPRECIATION,REST
2261,REST,REST
2262,REST,REST
2263,REST,REST
2264,REST,REST
2265,REST,REST
2266,REST,REST
2267,AVOIDANCE,REST
2268,REST,REST
2269,REST,REST
2270,REST,REST
2271,REST,REST
2272,REST,REST
2273,DEPRECIATION,REST
2274,REST,REST
2275,WITHDRAWAL,REST
2276,REST,REST
2277,REST,REST
2278,REST,REST
2279,REST,REST
2280,REST,REST
2281,REST,REST
2282,REST,REST
2283,STABILIZE_SELF,REST
2284,REST,REST
2285,REST,REST
2286,DEPRECIATION,REST
2287,WITHDRAWAL,REST
2288,AVOIDANCE,REST
2289,REST,REST
2290,REST,REST
2291,REST,REST
2292,REST,REST
2293,REST,REST
2294,REST,REST
2295,REST,REST
2296,REST,REST
2297,REST,REST
2298,REST,REST
2299,REST,REST
2300,REST,REST
2301,REST,REST
2302,REST,REST
2303,WITHDRAWAL,REST
2304,REST,REST
2305,REST,REST
2306,REST,REST
2307,ATTACK_SELF,REST
2308,REST,REST
2309,REST,REST
2310,REST,REST
2311,REST,REST
2312,REST,REST
2313,ATTACK_OTHER,REST
2314,REST,REST
2315,REST,REST
2316,REST,REST
2317,REST,REST
2318,AVOIDANCE,REST
2319,REST,REST
2320,REST,REST
2321,REST,REST
2322,WITHDRAWAL,REST
2323,REST,REST
2324,REST,REST
2325,REST,REST
2326,REST,REST
2327,REST,REST
2328,REST,REST
2329,REST,REST
2330,WITHDRAWAL,REST
2331,REST,REST
2332,AVOIDANCE,REST
2333,REST,REST
2334,WITHDRAWAL,REST
2335,ATTACK_OTHER,REST
2336,DEPRECIATION,DEPRECIATION
2337,DEPRECIATION,DEPRECIATION
2338,DEPRECIATION,DEPRECIATION
2339,DEPRECIATION,DEPRECIATION
2340,ATTACK_SELF,DEPRECIATION
2341,DEPRECIATION,DEPRECIATION
2342,DEPRECIATION,DEPRECIATION
2343,DEPRECIATION,DEPRECIATION
2344,DEPRECIATION,DEPRECIATION
2345,DEPRECIATION,DEPRECIATION
2346,DEPRECIATION,DEPRECIATION
2347,DEPRECIATION,DEPRECIATION
2348,DEPRECIATION,DEPRECIATION
2349,DEPRECIATION,DEPRECIATION
2350,DEPRECIATION,DEPRECIATION
2351,DEPRECIATION,DEPRECIATION
2352,DEPRECIATION,DEPRECIATION
2353,DEPRECIATION,DEPRECIATION
2354,DEPRECIATION,DEPRECIATION
2355,ATTACK_OTHER,DEPRECIATION
2356,DEPRECIATION,DEPRECIATION
2357,DEPRECIATION,DEPRECIATION
2358,DEPRECIATION,DEPRECIATION
2359,DEPRECIATION,DEPRECIATION
2360,STABILIZE_SELF,DEPRECIATION
2361,REST,DEPRECIATION
2362,REST,DEPRECIATION
2363,DEPRECIATION,DEPRECIATION
2364,DEPRECIATION,DEPRECIATION
2365,DEPRECIATION,DEPRECIATION
2366,ATTACK_OTHER,DEPRECIATION
2367,DEPRECIATION,DEPRECIATION
2368,DEPRECIATION,DEPRECIATION
2369,DEPRECIATION,DEPRECIATION
2370,DEPRECIATION,DEPRECIATION
2371,DEPRECIATION,DEPRECIATION
2372,DEPRECIATION,DEPRECIATION
2373,DEPRECIATION,DEPRECIATION
2374,DEPRECIATION,DEPRECIATION
2375,DEPRECIATION,DEPRECIATION
2376,DEPRECIATION,DEPRECIATION
2377,DEPRECIATION,DEPRECIATION
2378,DEPRECIATION,DEPRECIATION
2379,DEPRECIATION,DEPRECIATION
2380,DEPRECIATION,DEPRECIATION
2381,DEPRECIATION,DEPRECIATION
2382,DEPRECIATION,DEPRECIATION
2383,DEPRECIATION,DEPRECIATION
2384,DEPRECIATION,DEPRECIATION
2385,DEPRECIATION,DEPRECIATION
2386,DEPRECIATION,DEPRECIATION
2387,AVOIDANCE,DEPRECIATION
2388,DEPRECIATION,DEPRECIATION
2389,DEPRECIATION,DEPRECIATION
2390,DEPRECIATION,DEPRECIATION
2391,DEPRECIATION,DEPRECIATION
2392,DEPRECIATION,DEPRECIATION
2393,DEPRECIATION,DEPRECIATION
2394,DEPRECIATION,DEPRECIATION
2395,DEPRECIATION,DEPRECIATION
2396,DEPRECIATION,DEPRECIATION
2397,DEPRECIATION,DEPRECIATION
2398,AVOIDANCE,DEPRECIATION
2399,DEPRECIATION,DEPRECIATION
2400,DEPRECIATION,DEPRECIATION
2401,DEPRECIATION,DEPRECIATION
2402,DEPRECIATION,DEPRECIATION
2403,ATTACK_OTHER,DEPRECIATION
2404,DEPRECIATION,DEPRECIATION
2405,DEPRECIATION,DEPRECIATION
2406,DEPRECIATION,DEPRECIATION
2407,DEPRECIATION,DEPRECIATION
2408,DEPRECIATION,DEPRECIATION
2409,DEPRECIATION,DEPRECIATION
2410,DEPRECIATION,DEPRECIATION
2411,DEPRECIATION,DEPRECIATION
2412,DEPRECIATION,DEPRECIATION
2413,DEPRECIATION,DEPRECIATION
2414,DEPRECIATION,DEPRECIATION
2415,DEPRECIATION,DEPRECIATION
2416,DEPRECIATION,DEPRECIATION
2417,ATTACK_OTHER,DEPRECIATION
2418,DEPRECIATION,DEPRECIATION
2419,DEPRECIATION,DEPRECIATION
2420,ATTACK_SELF,DEPRECIATION
2421,DEPRECIATION,DEPRECIATION
2422,ATTACK_OTHER,DEPRECIATION
2423,DEPRECIATION,DEPRECIATION
2424,DEPRECIATION,DEPRECIATION
2425,AVOIDANCE,DEPRECIATION
2426,DEPRECIATION,DEPRECIATION
2427,DEPRECIATION,DEPRECIATION
2428,DEPRECIATION,DEPRECIATION
2429,DEPRECIATION,DEPRECIATION
2430,STABILIZE_SELF,DEPRECIATION
2431,DEPRECIATION,DEPRECIATION
2432,DEPRECIATION,DEPRECIATION
2433,DEPRECIATION,DEPRECIATION
2434,DEPRECIATION,DEPRECIATION
2435,DEPRECIATION,DEPRECIATION
2436,DEPRECIATION,DEPRECIATION
2437,DEPRECIATION,DEPRECIATION
2438,DEPRECIATION,DEPRECIATION
2439,DEPRECIATION,DEPRECIATION
2440,DEPRECIATION,DEPRECIATION
2441,DEPRECIATION,DEPRECIATION
2442,DEPRECIATION,DEPRECIATION
2443,DEPRECIATION,DEPRECIATION
2444,DEPRECIATION,DEPRECIATION
2445,STABILIZE_SELF,DEPRECIATION
2446,DEPRECIATION,DEPRECIATION
2447,DEPRECIATION,DEPRECIATION
2448,DEPRECIATION,DEPRECIATION
2449,DEPRECIATION,DEPRECIATION
2450,DEPRECIATION,DEPRECIATION
2451,DEPRECIATION,DEPRECIATION
2452,DEPRECIATION,DEPRECIATION
2453,DEPRECIATION,DEPRECIATION
2454,DEPRECIATION,DEPRECIATION
2455,DEPRECIATION,DEPRECIATION
2456,DEPRECIATION,DEPRECIATION
2457,DEPRECIATION,DEPRECIATION
2458,DEPRECIATION,DEPRECIATION
2459,DEPRECIATION,DEPRECIATION
2460,DEPRECIATION,DEPRECIATION
2461,DEPRECIATION,DEPRECIATION
2462,DEPRECIATION,DEPRECIATION
2463,AVOIDANCE,DEPRECIATION
2464,AVOIDANCE,DEPRECIATION
2465,DEPRECIATION,DEPRECIATION
2466,REST,DEPRECIATION
2467,DEPRECIATION,DEPRECIATION
2468,DEPRECIATION,DEPRECIATION
2469,STABILIZE_SELF,DEPRECIATION
2470,DEPRECIATION,DEPRECIATION
2471,DEPRECIATION,DEPRECIATION
2472,DEPRECIATION,DEPRECIATION
2473,DEPRECIATION,DEPRECIATION
2474,DEPRECIATION,DEPRECIATION
2475,ATTACK_OTHER,DEPRECIATION
2476,DEPRECIATION,DEPRECIATION
2477,AVOIDANCE,DEPRECIATION
2478,DEPRECIATION,DEPRECIATION
2479,DEPRECIATION,DEPRECIATION
2480,REST,DEPRECIATION
2481,DEPRECIATION,DEPRECIATION
2482,ATTACK_SELF,DEPRECIATION
2483,DEPRECIATION,DEPRECIATION
2484,DEPRECIATION,DEPRECIATION
2485,DEPRECIATION,DEPRECIATION
2486,DEPRECIATION,DEPRECIATION
2487,DEPRECIATION,DEPRECIATION
2488,DEPRECIATION,DEPRECIATION
2489,DEPRECIATION,DEPRECIATION
2490,DEPRECIATION,DEPRECIATION
2491,DEPRECIATION,DEPRECIATION
2492,DEPRECIATION,DEPRECIATION
2493,DEPRECIATION,DEPRECIATION
2494,DEPRECIATION,DEPRECIATION
2495,DEPRECIATION,DEPRECIATION
2496,DEPRECIATION,DEPRECIATION
2497,DEPRECIATION,DEPRECIATION
2498,DEPRECIATION,DEPRECIATION
2499,DEPRECIATION,DEPRECIATION
2500,DEPRECIATION,DEPRECIATION
2501,DEPRECIATION,DEPRECIATION
2502,DEPRECIATION,DEPRECIATION
2503,AVOIDANCE,DEPRECIATION
2504,DEPRECIATION,DEPRECIATION
2505,DEPRECIATION,DEPRECIATION
2506,DEPRECIATION,DEPRECIATION
2507,DEPRECIATION,DEPRECIATION
2508,DEPRECIATION,DEPRECIATION
2509,DEPRECIATION,DEPRECIATION
2510,DEPRECIATION,DEPRECIATION
2511,DEPRECIATION,DEPRECIATION
2512,DEPRECIATION,DEPRECIATION
2513,REST,DEPRECIATION
2514,DEPRECIATION,DEPRECIATION
2515,DEPRECIATION,DEPRECIATION
2516,ATTACK_SELF,DEPRECIATION
2517,DEPRECIATION,DEPRECIATION
2518,DEPRECIATION,DEPRECIATION
2519,DEPRECIATION,DEPRECIATION
2520,DEPRECIATION,DEPRECIATION
2521,WITHDRAWAL,DEPRECIATION
2522,DEPRECIATION,DEPRECIATION
2523,DEPRECIATION,DEPRECIATION
2524,DEPRECIATION,DEPRECIATION
2525,DEPRECIATION,DEPRECIATION
2526,DEPRECIATION,DEPRECIATION
2527,STABILIZE_SELF,DEPRECIATION
2528,DEPRECIATION,DEPRECIATION
2529,DEPRECIATION,DEPRECIATION
2530,DEPRECIATION,DEPRECIATION
2531,DEPRECIATION,DEPRECIATION
2532,DEPRECIATION,DEPRECIATION
2533,STABILIZE_SELF,DEPRECIATION
2534,DEPRECIATION,DEPRECIATION
2535,REST,DEPRECIATION
2536,DEPRECIATION,DEPRECIATION
2537,DEPRECIATION,DEPRECIATION
2538,DEPRECIATION,DEPRECIATION
2539,DEPRECIATION,DEPRECIATION
2540,DEPRECIATION,DEPRECIATION
2541,DEPRECIATION,DEPRECIATION
2542,REST,DEPRECIATION
2543,DEPRECIATION,DEPRECIATION
2544,DEPRECIATION,DEPRECIATION
2545,DEPRECIATION,DEPRECIATION
2546,ATTACK_OTHER,DEPRECIATION
2547,DEPRECIATION,DEPRECIATION
2548,DEPRECIATION,DEPRECIATION
2549,DEPRECIATION,DEPRECIATION
3401,AVOIDANCE,AVOIDANCE
3402,AVOIDANCE,AVOIDANCE
3403,AVOIDANCE,AVOIDANCE
3404,AVOIDANCE,AVOIDANCE
3405,AVOIDANCE,AVOIDANCE
3406,AVOIDANCE,AVOIDANCE
3407,AVOIDANCE,AVOIDANCE
3408,DEPRECIATION,AVOIDANCE
3409,AVOIDANCE,AVOIDANCE
3410,AVOIDANCE,AVOIDANCE
3411,AVOIDANCE,AVOIDANCE
3412,AVOIDANCE,AVOIDANCE
3413,AVOIDANCE,AVOIDANCE
3414,ATTACK_SELF,AVOIDANCE
3415,AVOIDANCE,AVOIDANCE
3416,AVOIDANCE,AVOIDANCE
3417,AVOIDANCE,AVOIDANCE
3418,AVOIDANCE,AVOIDANCE
3419,AVOIDANCE,AVOIDANCE
3420,AVOIDANCE,AVOIDANCE
3421,AVOIDANCE,AVOIDANCE
3422,WITHDRAWAL,AVOIDANCE
3423,AVOIDANCE,AVOIDANCE
3424,AVOIDANCE,AVOIDANCE
3425,AVOIDANCE,AVOIDANCE
3426,AVOIDANCE,AVOIDANCE
3427,AVOIDANCE,AVOIDANCE
3428,AVOIDANCE,AVOIDANCE
3429,ATTACK_OTHER,AVOIDANCE
3430,AVOIDANCE,AVOIDANCE
3431,AVOIDANCE,AVOIDANCE
3432,AVOIDANCE,AVOIDANCE
3433,AVOIDANCE,AVOIDANCE
3434,AVOIDANCE,AVOIDANCE
3435,AVOIDANCE,AVOIDANCE
3436,AVOIDANCE,AVOIDANCE
3437,AVOIDANCE,AVOIDANCE
3438,AVOIDANCE,AVOIDANCE
3439,AVOIDANCE,AVOIDANCE
3440,AVOIDANCE,AVOIDANCE
3441,AVOIDANCE,AVOIDANCE
3442,AVOIDANCE,AVOIDANCE
3443,AVOIDANCE,AVOIDANCE
3444,STABILIZE_SELF,AVOIDANCE
3445,AVOIDANCE,AVOIDANCE
3446,AVOIDANCE,AVOIDANCE
3447,AVOIDANCE,AVOIDANCE
3448,AVOIDANCE,AVOIDANCE
3449,AVOIDANCE,AVOIDANCE
3450,AVOIDANCE,AVOIDANCE
3451,AVOIDANCE,AVOIDANCE
3452,AVOIDANCE,AVOIDANCE
3453,AVOIDANCE,AVOIDANCE
3454,AVOIDANCE,AVOIDANCE
3455,AVOIDANCE,AVOIDANCE
3456,AVOIDANCE,AVOIDANCE
3457,WITHDRAWAL,AVOIDANCE
3458,ATTACK_SELF,AVOIDANCE
3459,AVOIDANCE,AVOIDANCE
3460,AVOIDANCE,AVOIDANCE
3461,REST,AVOIDANCE
3462,AVOIDANCE,AVOIDANCE
3463,AVOIDANCE,AVOIDANCE
3464,AVOIDANCE,AVOIDANCE
3465,REST,AVOIDANCE
3466,ATTACK_OTHER,AVOIDANCE
3467,AVOIDANCE,AVOIDANCE
3468,WITHDRAWAL,AVOIDANCE
3469,AVOIDANCE,AVOIDANCE
3470,AVOIDANCE,AVOIDANCE
3471,AVOIDANCE,AVOIDANCE
3472,WITHDRAWAL,AVOIDANCE
3473,AVOIDANCE,AVOIDANCE
3474,WITHDRAWAL,AVOIDANCE
3475,AVOIDANCE,AVOIDANCE
3476,WITHDRAWAL,AVOIDANCE
3477,AVOIDANCE,AVOIDANCE
3478,STABILIZE_SELF,AVOIDANCE
3479,AVOIDANCE,AVOIDANCE
3480,AVOIDANCE,AVOIDANCE
3481,AVOIDANCE,AVOIDANCE
3482,AVOIDANCE,AVOIDANCE
3483,AVOIDANCE,AVOIDANCE
3484,AVOIDANCE,AVOIDANCE
3485,AVOIDANCE,AVOIDANCE
3486,AVOIDANCE,AVOIDANCE
3487,AVOIDANCE,AVOIDANCE
3488,AVOIDANCE,AVOIDANCE
3489,AVOIDANCE,AVOIDANCE
3490,AVOIDANCE,AVOIDANCE
3491,AVOIDANCE,AVOIDANCE
3492,AVOIDANCE,AVOIDANCE
3493,AVOIDANCE,AVOIDANCE
3494,AVOIDANCE,AVOIDANCE
3495,AVOIDANCE,AVOIDANCE
3496,AVOIDANCE,AVOIDANCE
3497,AVOIDANCE,AVOIDANCE
3498,AVOIDANCE,AVOIDANCE
3499,AVOIDANCE,AVOIDANCE
3500,AVOIDANCE,AVOIDANCE
3501,AVOIDANCE,AVOIDANCE
3502,AVOIDANCE,AVOIDANCE
3503,AVOIDANCE,AVOIDANCE
3504,AVOIDANCE,AVOIDANCE
3505,DEPRECIATION,AVOIDANCE
3506,AVOIDANCE,AVOIDANCE
3507,AVOIDANCE,AVOIDANCE
3508,AVOIDANCE,AVOIDANCE
3509,AVOIDANCE,AVOIDANCE
3510,AVOIDANCE,AVOIDANCE
3511,AVOIDANCE,AVOIDANCE
3512,DEPRECIATION,AVOIDANCE
3513,AVOIDANCE,AVOIDANCE
3514,AVOIDANCE,AVOIDANCE
3515,AVOIDANCE,AVOIDANCE
3516,AVOIDANCE,AVOIDANCE
3517,AVOIDANCE,AVOIDANCE
3518,AVOIDANCE,AVOIDANCE
3519,REST,AVOIDANCE
3520,REST,AVOIDANCE
3521,REST,AVOIDANCE
3522,AVOIDANCE,AVOIDANCE
3523,STABILIZE_SELF,AVOIDANCE
3524,AVOIDANCE,AVOIDANCE
3525,AVOIDANCE,AVOIDANCE
3526,AVOIDANCE,AVOIDANCE
3527,AVOIDANCE,AVOIDANCE
3528,WITHDRAWAL,AVOIDANCE
3529,DEPRECIATION,AVOIDANCE
3530,ATTACK_SELF,AVOIDANCE
3531,AVOIDANCE,AVOIDANCE
3532,AVOIDANCE,AVOIDANCE
3533,AVOIDANCE,AVOIDANCE
3534,STABILIZE_SELF,AVOIDANCE
3535,AVOIDANCE,AVOIDANCE
3536,REST,AVOIDANCE
3537,AVOIDANCE,AVOIDANCE
3538,AVOIDANCE,AVOIDANCE
3539,AVOIDANCE,AVOIDANCE
3540,AVOIDANCE,AVOIDANCE
3541,AVOIDANCE,AVOIDANCE
3542,AVOIDANCE,AVOIDANCE
3543,AVOIDANCE,AVOIDANCE
3544,AVOIDANCE,AVOIDANCE
3545,DEPRECIATION,AVOIDANCE
3546,AVOIDANCE,AVOIDANCE
3547,AVOIDANCE,AVOIDANCE
3548,AVOIDANCE,AVOIDANCE
3549,AVOIDANCE,AVOIDANCE
3550,AVOIDANCE,AVOIDANCE
3551,AVOIDANCE,AVOIDANCE
3552,AVOIDANCE,AVOIDANCE
3553,WITHDRAWAL,AVOIDANCE
3554,REST,AVOIDANCE
3555,AVOIDANCE,AVOIDANCE
3556,AVOIDANCE,AVOIDANCE
3557,AVOIDANCE,AVOIDANCE
3558,ATTACK_OTHER,AVOIDANCE
3559,AVOIDANCE,AVOIDANCE
3560,AVOIDANCE,AVOIDANCE
3561,AVOIDANCE,AVOIDANCE
3562,REST,AVOIDANCE
3563,REST,AVOIDANCE
3564,AVOIDANCE,AVOIDANCE
3565,ATTACK_OTHER,AVOIDANCE
3566,AVOIDANCE,AVOIDANCE
3567,AVOIDANCE,AVOIDANCE
3568,ATTACK_OTHER,AVOIDANCE
3569,WITHDRAWAL,AVOIDANCE
3570,AVOIDANCE,AVOIDANCE
3571,AVOIDANCE,AVOIDANCE
3572,STABILIZE_SELF,AVOIDANCE
3573,WITHDRAWAL,AVOIDANCE
3574,AVOIDANCE,AVOIDANCE
3575,AVOIDANCE,AVOIDANCE
3576,AVOIDANCE,AVOIDANCE
3577,AVOIDANCE,AVOIDANCE
3578,AVOIDANCE,AVOIDANCE
3579,AVOIDANCE,AVOIDANCE
3580,REST,AVOIDANCE
3581,AVOIDANCE,AVOIDANCE
3582,AVOIDANCE,AVOIDANCE
3583,AVOIDANCE,AVOIDANCE
3584,AVOIDANCE,AVOIDANCE
3585,AVOIDANCE,AVOIDANCE
3586,AVOIDANCE,AVOIDANCE
3587,AVOIDANCE,AVOIDANCE
3588,AVOIDANCE,AVOIDANCE
3589,AVOIDANCE,AVOIDANCE
3590,AVOIDANCE,AVOIDANCE
3591,AVOIDANCE,AVOIDANCE
3592,AVOIDANCE,AVOIDANCE
3593,STABILIZE_SELF,AVOIDANCE
3594,AVOIDANCE,AVOIDANCE
3595,AVOIDANCE,AVOIDANCE
3596,AVOIDANCE,AVOIDANCE
3597,AVOIDANCE,AVOIDANCE
3598,AVOIDANCE,AVOIDANCE
3599,AVOIDANCE,AVOIDANCE
3600,AVOIDANCE,AVOIDANCE
3601,AVOIDANCE,AVOIDANCE
3602,AVOIDANCE,AVOIDANCE
3603,AVOIDANCE,AVOIDANCE
3604,AVOIDANCE,AVOIDANCE
3605,AVOIDANCE,AVOIDANCE
3606,REST,AVOIDANCE
3607,AVOIDANCE,AVOIDANCE
3608,AVOIDANCE,AVOIDANCE
3609,AVOIDANCE,AVOIDANCE
3610,AVOIDANCE,AVOIDANCE
3611,AVOIDANCE,AVOIDANCE
3612,AVOIDANCE,AVOIDANCE
3613,AVOIDANCE,AVOIDANCE
3614,AVOIDANCE,AVOIDANCE
3615,AVOIDANCE,AVOIDANCE
3616,AVOIDANCE,AVOIDANCE
3617,AVOIDANCE,AVOIDANCE
3618,ATTACK_SELF,AVOIDANCE
3619,AVOIDANCE,AVOIDANCE
3620,STABILIZE_SELF,AVOIDANCE
3621,AVOIDANCE,AVOIDANCE
3622,STABILIZE_SELF,AVOIDANCE
3623,ATTACK_OTHER,AVOIDANCE
3624,STABILIZE_SELF,AVOIDANCE
3625,ATTACK_SELF,AVOIDANCE
