Eyes,Gaze,Head,HeadTilt,Smile,Speech,UpperBody,SmileControl,EkmanExpression,ExperiencedEmotion1,ExperiencedEmotion2,InternalEmotion,ShameAwarenessSituation,ShameAwarenessInterview,DisplayRule,RelationshipIntention,MindednessMean,Gender,Situation,transcript,session
REST,STRAIGHT_AT_INTERVIEWER,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,REST,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,GPA,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,STRAIGHT,REST,REST,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,REST,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,REST,REST,NON_DUCHENNE,REST,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,REST,VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,REST,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,UP,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,REST,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,LEFT,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,LEFT,REST,NON_DUCHENNE,FILLER,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,LEFT,TILT,NON_DUCHENNE,FILLER,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,DOWN,LEFT,TILT,NON_DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,NON_DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,DOWN,LEFT,TILT,REST,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,REST,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
BLINK_REPEATEDLY,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,TILT,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,SPEECH,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,"Ähh, das ist..",VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,STRAIGHT,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,REST,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,REST,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,SMILE_CONTROL,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,SMILE_CONTROL,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,SMILE_CONTROL,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,SMILE_CONTROL,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
REST,STRAIGHT_AT_INTERVIEWER,LEFT,REST,DUCHENNE,REST,SIDEWAYS,SMILE_CONTROL,JOY,SHAME_SHYNESS,SURPRISE,ENJOYMENT,AWARE_OF_SHAME,AWARE_OF_SHAME,REST,MAINTAIN_RELATIONSHIP,"4,75",FEMALE,S1,[Avatar]: Irgendwie passt Ihnen das überhaupt nicht.,VPN01
